user,text,place,created_at
Todd Hallidy,"PEW: What #news consumers want and say they are/aren't getting. Plug in Rochester, or your city, to see the results? https://t.co/p3rOorBg8G","New York, USA",Wed Mar 27 11:07:49 +0000 2019
Shayla Young,"how to have a lovely day ? smile at strangers, slow down, say thank you, give... https://t.co/mypJTlj9PK",Canada,Wed Mar 27 11:08:03 +0000 2019
Kathleen E. Smith,#BarrBrief does not cover the subject. #ReleaseFullMuellerReport,"New York, USA",Wed Mar 27 11:08:16 +0000 2019
Wayne Eagles,Tonight! Great collection of players!!! https://t.co/eN2mUE6Dnv,"Ottawa, Ontario",Wed Mar 27 11:08:57 +0000 2019
Fernando Munoz,@SHO_Billions @NYSE @DavidLevien @AsiaKateDillon @tobesmoore @KellyAuCoin77 Looking forward to meeting you guys today,"New York, USA",Wed Mar 27 11:09:18 +0000 2019
benelicious,"@SilkenSoul @VancityReynolds @ItsNotRevenge @mpweigl  rt,rt,rt https://t.co/iCDkcxGd7s","Ottawa, Ontario",Wed Mar 27 11:09:31 +0000 2019
Scott Lomoglio,@MillerStream This smells like a big time political move. Why are the records sealed? Ridiculous!!!. So I guess it?? https://t.co/85APHN9ZPU,"New York, USA",Wed Mar 27 11:10:01 +0000 2019
Travon Bell,Miss it ???? https://t.co/9lkFVqo2YV,"New York, USA",Wed Mar 27 11:10:05 +0000 2019
Melanie Haskins,@JohnStantonRR And when you have an amazing ?team? the greater pleasure is actually doing what they say you can ??? https://t.co/h9Nf6zWegu,"Ottawa, Ontario",Wed Mar 27 11:10:24 +0000 2019
Vince-Vega,@cathmckenna @JustinTrudeau #trump #trudeau #ClimateChangeHoax #climatescam #climatechange,"Ottawa, Ontario",Wed Mar 27 11:10:26 +0000 2019
Kathleen E. Smith,This budget cut is cruel &amp; unusual. MAGA people have wake up &amp; will when they realize all they lose under Trump,"New York, USA",Wed Mar 27 11:10:54 +0000 2019
John Douthit,BC Spring Open House - April 24th 4:30-6:30pm. Placement still available for September 2019!? https://t.co/pGtYZHPKLS,"New York, USA",Wed Mar 27 11:11:05 +0000 2019
Beyond Yoga Ottawa,"#wellnesswednesday   
P A U S E      B R E A T H E     S M I L E      ???? Repeat ????

Connecting with your breath is? https://t.co/SGf0fHQBUB","Ottawa, Ontario",Wed Mar 27 11:11:07 +0000 2019
Ty ML Albee,"@1AlexisArnold - obviously the Red Cross will be helping these folks who lost everything in the fire on Monroe, wil? https://t.co/xR2e6Ca7D0","New York, USA",Wed Mar 27 11:11:18 +0000 2019
Jim Parrillo ??????,@DOPreston Happy Birthday!! Hope you have a fantastic day!,"New York, USA",Wed Mar 27 11:11:19 +0000 2019
Marten Burns,"Centre Pierre Harvey &amp; funding issues...
https://t.co/X3uCoLZJxD","Ottawa, Ontario",Wed Mar 27 11:11:34 +0000 2019
Jessica Kwon,What is a #JussieSmollett? A lying piece of shit that wasted the tax payers money! https://t.co/tPBROdrYy6,"Ontario, Canada",Wed Mar 27 11:11:34 +0000 2019
Michael Hynes,@RickMoffat Got your line &lt; cruel calculus &gt; stuck in my head. Nice word smithing dude ... and no.,Canada,Wed Mar 27 11:11:36 +0000 2019
